Mach,alt_ft,PC,T3_K,P3_Pa,FAR,mdot_air3_kg_s,EINOX,EICO,EIUHC
0.75,10000.0,0.8,721.5026158544867,1797289.1999483462,0.02176247840392625,30.529319255183783,25.257019016899996,2.261486173725094,0.01854124051248224
0.75,10000.0,0.9,736.4924022939816,1940069.2385286004,0.022782291843176632,32.442878671974526,24.050059041684733,2.0146456890231237,0.018158310255954015
0.75,10000.0,1.0,751.1717803719417,2081245.2352171368,0.023813174058105954,34.281266120487174,22.835192438523887,1.8621607901713597,0.017986260366096216
0.75,20000.0,0.3,595.7553439968052,778875.6418796988,0.015878079692648775,14.881416087207356,8.91228088258764,8.809901406623219,0.10777464643871833
0.75,20000.0,0.55,655.0731249879449,1095418.8693121444,0.01916039347724194,19.588621775546574,20.291168128424196,4.48890885213189,0.07582304590725539
0.75,20000.0,0.8,700.4327904727982,1398594.1567201882,0.022019544799606664,23.82425946428216,22.65204060889977,2.9659187797450293,0.024484178054496885
0.75,20000.0,0.9,716.3461507005425,1514111.27070591,0.02320350474801724,25.336468477761265,21.46031877066861,2.664042321711533,0.023216549363838015
0.75,20000.0,1.0,731.759184409919,1630937.7171533604,0.02432563966719303,26.850193302278928,20.47355863715577,2.4886966370966705,0.022254161232553367
0.75,25000.0,0.3,582.3614804871331,665786.1900274345,0.015877243173022925,12.781845097553992,8.523410807085734,79.19156727872277,1.2155546252668834
0.75,25000.0,0.55,642.6402667493704,948808.4573317075,0.019162064949469666,17.031723316179036,18.675351323861527,5.184949683375449,0.08531342073904853
0.75,25000.0,0.8,688.6755506211504,1217293.5593254059,0.02217924509668011,20.764625299955327,21.31763513592994,3.430456792230225,0.07988751850797463
0.75,25000.0,0.9,705.3252754764155,1322858.3603024369,0.023358217562056242,22.16264914215614,20.391551645301167,3.0872429327200295,0.026451186150871983
0.75,25000.0,1.0,722.057707339049,1429867.5780049167,0.024580950504651047,23.53393416416993,19.511338812238975,2.8946522673560473,0.02493326853783954
0.75,30000.0,0.3,568.2711258464161,563966.565145835,0.015884003919584444,10.88102821412561,6.9378405745367955,12.526135293153853,0.14336523927978884
0.75,30000.0,0.55,629.1847694318232,814075.5325590068,0.019164582187405025,14.673882636474303,16.9674309995893,6.049664300101513,0.0966788743689732
0.75,30000.0,0.8,676.4007973699056,1051761.2823320723,0.02227244992442552,17.98236963440505,20.112478192256027,3.9929775847677647,0.08887658853136365
0.75,30000.0,0.9,694.3981274479389,1147186.2142861127,0.023547140441877515,19.2345938746024,19.35368600021691,3.597520636645366,0.08706676058065964
0.75,30000.0,1.0,712.5587496646846,1244284.6667497563,0.02483042687306721,20.474329535923136,15.272403303432446,44.871028344106875,0.15861516437808848
0.75,35000.0,0.3,573.603966394362,536968.4138522062,0.016923147019115195,10.176219419691583,8.770135753849182,11.494807484013048,0.13546977519454945
0.75,35000.0,0.55,641.4990637902337,802240.8411145575,0.020878450186699232,14.090247253060525,18.178150650311068,5.545252397752363,0.10359205948563929
0.75,35000.0,0.8,705.6159463844152,1078635.5465629867,0.024910059247397604,17.764877544891917,15.029811666807289,46.719783739796746,0.20204510869744033
0.75,35000.0,0.9,741.1968133450762,1205780.741779162,0.027055882097151446,19.254293131790703,10.946416255533274,37.04204312916881,0.17157960267648092
0.8499999999999999,10000.0,0.3,634.0449932951212,1118159.9138764492,0.015746003034942096,21.11995220386998,11.294497450602032,5.890651448025409,0.08323103531202125
0.8499999999999999,10000.0,0.55,688.6329134850405,1509226.2642519767,0.01897467122541917,26.77741294734143,24.462540002930258,3.1912981072589424,0.06036472581185857
0.8499999999999999,10000.0,0.8,730.4118142526244,1878037.0201015824,0.02163627957144328,31.869143912484585,26.489899755279303,48.934143627970165,0.11244612079469725
0.8499999999999999,10000.0,0.9,744.7639534356864,2022733.7256199464,0.02262898157250967,33.80846811652161,25.248242101659258,1.8958095108536879,0.017989114904276092
0.8499999999999999,10000.0,1.0,758.3437764206756,2164570.6362548294,0.023623371989947177,35.660562100715765,23.927599866611803,1.7555246098161643,0.017808772885134723
0.8499999999999999,20000.0,0.3,607.1760762479324,831242.1415553892,0.01579498519689699,15.837879204753786,9.330565060813568,8.132595569017894,0.10506053909488028
0.8499999999999999,20000.0,0.55,664.5615061012871,1152660.009925702,0.01906224192707484,20.57864737554693,21.183719196813872,4.213520337180689,0.07467527790455124
0.8499999999999999,20000.0,0.8,707.8663570394995,1459294.1749012636,0.021889653099416564,24.84482524844517,23.565363823293552,2.8097404617958266,0.024035677661143468
0.8499999999999999,20000.0,0.9,723.6124691956294,1577718.3402330277,0.023028236761704218,26.401530509509076,22.42197428803463,2.5207734156688026,0.0229127650337818
0.8499999999999999,20000.0,1.0,738.2918981295448,1694244.748379316,0.024153498994195697,27.89724024641888,21.27093331712027,2.358155505345945,0.02201719949668902
0.8499999999999999,25000.0,0.3,593.8670755102189,711995.6827531604,0.015823448293611746,13.62420513460443,8.39793517698801,9.607325164663365,0.11854244494370056
0.8499999999999999,25000.0,0.55,652.4169549326293,1001099.8008801824,0.019125297362759263,17.92489141552173,19.603767241061178,4.843285348491828,0.0838409867059012
0.8499999999999999,25000.0,0.8,696.9062596385081,1276107.994996212,0.022095477114036664,21.73970481637531,22.143844748974864,3.2323427779369447,0.07889152029868324
0.8499999999999999,25000.0,0.9,712.9191176459424,1382534.4741421128,0.023284201447943634,23.134933631724504,21.090907616031313,2.9183260716006956,0.026003421294374385
0.8499999999999999,25000.0,1.0,728.5717209491686,1490478.892680051,0.02440966429342791,24.535742025272206,20.220909514427515,2.735778193509305,0.024596967820051722
0.8499999999999999,30000.0,0.3,579.4802008796601,602902.5914786183,0.015826976519788694,11.595668879917515,7.3701999538536835,11.527841089541466,0.1374156049796283
0.8499999999999999,30000.0,0.55,638.8422525132881,859282.6409422772,0.019147631887120115,15.445794956961622,17.86235979003337,5.647799642395241,0.09487440123675805
