Altitude_ft,Mach,ThrustFraction,Efficiency,TSFC,ThrustLapse,T3_K,P3_Pa,FAR,mdot_air3,mdot_inlet,BPR
2.000000000000000000e+04,4.000000000000000222e-01,8.000000000000000444e-01,2.237744971824264795e-01,1.313747841389558947e-05,4.679255662103223301e-01,6.766455062345064562e+02,1.220342319741200656e+06,2.218882502851696886e-02,2.088380121322439109e+01,1.933264743781989239e+02,5.808734159814492592e+00
2.000000000000000000e+04,4.000000000000000222e-01,9.000000000000000222e-01,2.217310020532493042e-01,1.325855473114427237e-05,4.679255662102606017e-01,6.954720110530621469e+02,1.339121555501399795e+06,2.340014915105011195e-02,2.248339669948552455e+01,2.008587406506505033e+02,5.570726791162396552e+00
2.000000000000000000e+04,4.000000000000000222e-01,1.000000000000000000e+00,2.176977529551843982e-01,1.350419371080815802e-05,4.679255662101939883e-01,7.148899446902576074e+02,1.460780251293747686e+06,2.476901884265333975e-02,2.403818699357648825e+01,2.075269854782453365e+02,5.349762269919049906e+00
0.000000000000000000e+00,5.000000000000000000e-01,2.999999999999999889e-01,2.040390716840896068e-01,1.939289202211402454e-05,6.308044534500141243e-01,6.142230286028100181e+02,1.153065150441726437e+06,1.577404337241981175e-02,2.192202321779778273e+01,2.840569714639011636e+02,8.530362427895886057e+00
0.000000000000000000e+00,5.000000000000000000e-01,5.500000000000000444e-01,2.381067311273361853e-01,1.661821010572705931e-05,6.308044534499609446e-01,6.732859399375798830e+02,1.598553970809409395e+06,1.909438480266158200e-02,2.845123313942001175e+01,3.274446651865317790e+02,7.464892016855301016e+00
0.000000000000000000e+00,5.000000000000000000e-01,8.000000000000000444e-01,2.502753373749843635e-01,1.581021816597673188e-05,6.308044534499749334e-01,7.192637040839450719e+02,2.029645057568630204e+06,2.180219371777333479e-02,3.448160603869784069e+01,3.621862148689522201e+02,6.725543258115756373e+00
0.000000000000000000e+00,5.000000000000000000e-01,9.000000000000000222e-01,2.523176846881121649e-01,1.568224474773948366e-05,6.308044534499546163e-01,7.358786884645470536e+02,2.199462925854611211e+06,2.281212094807452337e-02,3.677434120857498812e+01,3.744083409438590024e+02,6.488334080016128880e+00
0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,2.533947901202612818e-01,1.561558421774963588e-05,6.308044534500177880e-01,7.512548118453213419e+02,2.366516627858572174e+06,2.381078938976157258e-02,3.898021886069577846e+01,3.858621571059803159e+02,6.280689536346109492e+00
1.000000000000000000e+04,5.000000000000000000e-01,2.999999999999999889e-01,2.172030807153315923e-01,1.758010784726299846e-05,5.401900846394902533e-01,5.919568835873226362e+02,8.862446828782906523e+05,1.581713525363716288e-02,1.697175089981176654e+01,2.123111422204468397e+02,8.200909003169087441e+00
1.000000000000000000e+04,5.000000000000000000e-01,5.500000000000000444e-01,2.463970503406301971e-01,1.549715622997312563e-05,5.401900846394703803e-01,6.544545814777470696e+02,1.262974507981739938e+06,1.922067798195343721e-02,2.257135781539313868e+01,2.472809090575976825e+02,7.057818868959486736e+00
1.000000000000000000e+04,5.000000000000000000e-01,8.000000000000000444e-01,2.545755527129816009e-01,1.499929409183439137e-05,5.401900846397410527e-01,7.029625173327624452e+02,1.627487000622469233e+06,2.205521047403473725e-02,2.769244413627438206e+01,2.747845768502582473e+02,6.298198347052180068e+00
1.000000000000000000e+04,5.000000000000000000e-01,9.000000000000000222e-01,2.552056231591929847e-01,1.496226272942039483e-05,5.401900846394395161e-01,7.200502094921341723e+02,1.771369114714737749e+06,2.312640033489225463e-02,2.963762741415947843e+01,2.843507969825173518e+02,6.056601836591849697e+00
1.000000000000000000e+04,5.000000000000000000e-01,1.000000000000000000e+00,2.548895463059632216e-01,1.498081674620629675e-05,5.401900846394556144e-01,7.358751617701605028e+02,1.912359435595688876e+06,2.421699023236208170e-02,3.148669025788287001e+01,2.932411474823196045e+02,5.849872628254766838e+00
1.500000000000000000e+04,5.000000000000000000e-01,2.999999999999999889e-01,2.227743074914539101e-01,1.682111713456371004e-05,4.929613581958673940e-01,5.801926035636108736e+02,7.694312746199190151e+05,1.584869563983862945e-02,1.478973938236221741e+01,1.819185533783678750e+02,8.046926673145364362e+00
1.500000000000000000e+04,5.000000000000000000e-01,5.500000000000000444e-01,2.495897467400413905e-01,1.501388887095610455e-05,4.929613581958673940e-01,6.441399603464371921e+02,1.111995734135484323e+06,1.924558734689139558e-02,1.992978775026498539e+01,2.129004193172412727e+02,6.857030533246838644e+00
1.500000000000000000e+04,5.000000000000000000e-01,8.000000000000000444e-01,2.556589797862125479e-01,1.465746567563808088e-05,4.929613581958673940e-01,6.937688336698829517e+02,1.443683545507114381e+06,2.213729811606936215e-02,2.460380157859070849e+01,2.370167449618718649e+02,6.085351679050800655e+00
1.500000000000000000e+04,5.000000000000000000e-01,9.000000000000000222e-01,2.554868557055109402e-01,1.466734055862518158e-05,4.929613581958673940e-01,7.109126248791284297e+02,1.572832771265883232e+06,2.328455864074941914e-02,2.633321174153561373e+01,2.453319653970874299e+02,5.852276899326147586e+00
1.500000000000000000e+04,5.000000000000000000e-01,1.000000000000000000e+00,2.540614339700435487e-01,1.474963225361825887e-05,4.929613581958673940e-01,7.276758228205002297e+02,1.703409640100050252e+06,2.443299793693264055e-02,2.804028285999154591e+01,2.529776584075382573e+02,5.635663823640670422e+00
2.000000000000000000e+04,5.000000000000000000e-01,2.999999999999999889e-01,2.273206677873993997e-01,1.616566948646269231e-05,4.419185451640966211e-01,5.672073293053585985e+02,6.602720941778077977e+05,1.583311065422976505e-02,1.275428182781963216e+01,1.545502853468973115e+02,7.912476538325056374e+00
2.000000000000000000e+04,5.000000000000000000e-01,5.500000000000000444e-01,2.519908499338098795e-01,1.458303261351885554e-05,4.419185451640966211e-01,6.322650005353907545e+02,9.673002358707959065e+05,1.917603354968950777e-02,1.741642692912535395e+01,1.816289704959313269e+02,6.670270090350727266e+00
2.000000000000000000e+04,5.000000000000000000e-01,8.000000000000000444e-01,2.559905745645476571e-01,1.435518002623370441e-05,4.419185451640966211e-01,6.823907801316668156e+02,1.262069665849999990e+06,2.217175483614742745e-02,2.156780105539169767e+01,2.024667712394947330e+02,5.904504005552920987e+00
2.000000000000000000e+04,5.000000000000000000e-01,9.000000000000000222e-01,2.548721988945553130e-01,1.441817035687522804e-05,4.419185451640966211e-01,7.003008411252959604e+02,1.379434392881636741e+06,2.334589504455367517e-02,2.314458722035143978e+01,2.095806257907631789e+02,5.660184969854660686e+00
2.000000000000000000e+04,5.000000000000000000e-01,1.000000000000000000e+00,2.514949555335683762e-01,1.461178724279656726e-05,4.419185451640966211e-01,7.185305914171797212e+02,1.498380029847906902e+06,2.467346878378248384e-02,2.465928247517388527e+01,2.159080951002693780e+02,5.439810499589323278e+00
2.500000000000000000e+04,5.000000000000000000e-01,2.999999999999999889e-01,2.360306073038006824e-01,1.525568466311547034e-05,4.350080536661349306e-01,5.643979188272675174e+02,5.996691101726125926e+05,1.629614955563982517e-02,1.151145798947783128e+01,1.338574788565072708e+02,7.552575283318325283e+00
2.500000000000000000e+04,5.000000000000000000e-01,5.500000000000000444e-01,2.536862004241596247e-01,1.419394712778985666e-05,3.935334400385057108e-01,6.202549779278556343e+02,8.364770185387183446e+05,1.913886231372542712e-02,1.512503804175016597e+01,1.539174714875033487e+02,6.484728341793439377e+00
2.500000000000000000e+04,5.000000000000000000e-01,8.000000000000000444e-01,2.554770257642119402e-01,1.409445137033075609e-05,3.935334400385134268e-01,6.712238415225805284e+02,1.098991348125485936e+06,2.220083351758128307e-02,1.883283074907987142e+01,1.717566893289421728e+02,5.707839375294727624e+00
2.500000000000000000e+04,5.000000000000000000e-01,9.000000000000000222e-01,2.522301273188214399e-01,1.427588589097829789e-05,3.935334400385258613e-01,6.906084333076305484e+02,1.205147539559550118e+06,2.355657157513718278e-02,2.022461272926413045e+01,1.776067956868619717e+02,5.458980334979558258e+00
2.500000000000000000e+04,5.000000000000000000e-01,1.000000000000000000e+00,2.473947542093044571e-01,1.455491054116699105e-05,3.935334400384827291e-01,7.115731107573028567e+02,1.319604282814431470e+06,2.485614607832520653e-02,2.171313182135497399e+01,1.830368813747592469e+02,5.200129151959090201e+00
0.000000000000000000e+00,5.999999999999999778e-01,2.999999999999999889e-01,2.155164636225170849e-01,2.203214150205747915e-05,5.923573445120485781e-01,6.264726084010018212e+02,1.232792926301581319e+06,1.581876250937101075e-02,2.332138388052072031e+01,3.136786003300950370e+02,8.892707567310464967e+00
0.000000000000000000e+00,5.999999999999999778e-01,5.500000000000000444e-01,2.557784213384702299e-01,1.856407275370166389e-05,5.923573445120485781e-01,6.834191220811466110e+02,1.682542105633586878e+06,1.908739216537799072e-02,2.985645299891125148e+01,3.531849781130970314e+02,7.700588116074081668e+00
0.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000444e-01,2.725916821343871144e-01,1.741905396883468797e-05,5.923573445120485781e-01,7.272103382998684538e+02,2.110639214093654882e+06,2.171735889540420128e-02,3.581429445938891121e+01,3.853580410991052645e+02,6.913937630189209926e+00
0.000000000000000000e+00,5.999999999999999778e-01,9.000000000000000222e-01,2.760403329366606373e-01,1.720143274730743025e-05,5.923573445120485781e-01,7.426314787290314143e+02,2.281064216465894133e+06,2.265827558065151501e-02,3.813547260066038547e+01,3.967410689287092396e+02,6.651782624249131359e+00
0.000000000000000000e+00,5.999999999999999778e-01,1.000000000000000000e+00,2.780174732898206269e-01,1.707910357707784682e-05,5.923573445120485781e-01,7.574484511209851689e+02,2.446997620582533069e+06,2.364689742612522891e-02,4.031250274390043131e+01,4.073557524281404767e+02,6.432222274939497275e+00
1.000000000000000000e+04,5.999999999999999778e-01,2.999999999999999889e-01,2.311360649406488665e-01,1.982444540472973269e-05,5.095751549612962394e-01,6.033108884231321554e+02,9.444558917259402806e+05,1.586377453949345748e-02,1.800068768046607559e+01,2.326504538997890279e+02,8.506034912982368468e+00
1.000000000000000000e+04,5.999999999999999778e-01,5.500000000000000444e-01,2.674732923966895437e-01,1.713122181067776835e-05,5.095751549612962394e-01,6.631184782230692463e+02,1.322573720798548544e+06,1.918091986244490135e-02,2.358603405549685661e+01,2.648984506352975927e+02,7.260552476801876765e+00
1.000000000000000000e+04,5.999999999999999778e-01,8.000000000000000444e-01,2.793678027380352424e-01,1.640183391060516164e-05,5.095751549612962394e-01,7.094877941136466006e+02,1.688350172796322033e+06,2.194085411039745429e-02,2.871456158755305665e+01,2.904680683301108957e+02,6.440134802838655581e+00
1.000000000000000000e+04,5.999999999999999778e-01,9.000000000000000222e-01,2.809202895068354522e-01,1.631119029716244446e-05,5.095751549612962394e-01,7.260877069986327115e+02,1.831907955383348744e+06,2.300141804706218318e-02,3.064410039028836152e+01,2.993717086163104000e+02,6.185359093639277717e+00
1.000000000000000000e+04,5.999999999999999778e-01,1.000000000000000000e+00,2.814848671366573796e-01,1.627847474392073206e-05,5.095751549612962394e-01,7.413050140856772714e+02,1.971616377062759595e+06,2.407380272082486339e-02,3.246701303003182204e+01,3.077040661181386554e+02,5.970685638384161109e+00
